feature,value,shap
education_level,1.0,-0.1680338231114537
leadership_indicators,1.0,-0.06260289877248452
num_prior_roles,1.0,-0.052621009587442084
num_certifications,1.0,-0.013991952571127517
num_publications,1.0,0.002940118449704818
resume_length_words,624.0,0.023902470668657173
years_experience,4.4,0.02863481997812098
avg_tenure_months,56.6,0.04584358083823556
gpa,3.58,0.1821081516469463
keyword_match_score,0.432,0.21808796697553123
num_relevant_skills,7.0,0.23211072103060262
portfolio_projects,4.0,0.4469493233885865
